nombre,poblacion,superficie,continente,region,subregion
India,1463865525,3287263,Asia,SinRegion,SinSubregion
China,1416096094,9596960,Asia,SinRegion,SinSubregion
Indonesia,285721236,1904569,Asia,SinRegion,SinSubregion
Pakistan,255219554,881913,Asia,SinRegion,SinSubregion
Bangladesh,175686899,144000,Asia,SinRegion,SinSubregion
Japon,123103479,377975,Asia,SinRegion,SinSubregion
Filipinas,116786962,300000,Asia,SinRegion,SinSubregion
Vietnam,101598527,331212,Asia,SinRegion,SinSubregion
Iran,92417681,1648195,Asia,SinRegion,SinSubregion
Turquia,87685426,783562,Asia,SinRegion,SinSubregion
Tailandia,71619863,513120,Asia,SinRegion,SinSubregion
Myanmar,54850648,676578,Asia,SinRegion,SinSubregion
Corea del Sur,51667029,100210,Asia,SinRegion,SinSubregion
Irak,47020774,438317,Asia,SinRegion,SinSubregion
Afganistan,43844111,652230,Asia,SinRegion,SinSubregion
Yemen,41773878,527968,Asia,SinRegion,SinSubregion
Uzbekistan,37053428,447400,Asia,SinRegion,SinSubregion
Malasia,35977838,330803,Asia,SinRegion,SinSubregion
Arabia Saudita,34566328,2149690,Asia,SinRegion,SinSubregion
Nepal,29618118,147181,Asia,SinRegion,SinSubregion
Corea del Norte,26571036,120538,Asia,SinRegion,SinSubregion
Siria,25620427,185180,Asia,SinRegion,SinSubregion
Sri Lanka,23229470,65610,Asia,SinRegion,SinSubregion
Kazajistan,20843754,2724900,Asia,SinRegion,SinSubregion
Camboya,17847982,181035,Asia,SinRegion,SinSubregion
Jordania,11548680,89342,Asia,SinRegion,SinSubregion
Israel,9422030,20770,Asia,SinRegion,SinSubregion
Libano,5063073,10452,Asia,SinRegion,SinSubregion
Singapur,6102187,710,Asia,SinRegion,SinSubregion
Turkmenistan,6635930,488100,Asia,SinRegion,SinSubregion
Estados Unidos,347275807,9833517,America,SinRegion,SinSubregion
Brasil,212812405,8515767,America,SinRegion,SinSubregion
Mexico,131946900,1964375,America,SinRegion,SinSubregion
Colombia,53425635,1141748,America,SinRegion,SinSubregion
Argentina,45851378,2780400,America,SinRegion,SinSubregion
Canada,40126723,9984670,America,SinRegion,SinSubregion
Peru,34576665,1285216,America,SinRegion,SinSubregion
